SKU,ModelFamily,color,MemorySize,Ext_Color,Ext_memorySize,Brand,SourceChannel,FunctionalStatus
APL IP6 GRY 64G A1549 BSTK-P,664GB ,GRAY  ,64GB      ,GRAY  ,64GB,APPLE,APPLE BBTI,TESTED
APL IP6 GRY 64G A1549 CSTK-P,664GB ,GRAY  ,64GB      ,GRAY  ,64GB,APPLE,APPLE BBTI,TESTED
APL IP6 GRY 64G A1586 ASTK-P,664GB ,GRAY  ,64GB      ,GRAY  ,64GB,APPLE,APPLE BBTI,TESTED
APL IP6 GRY 64G A1586 B2ST-P,664GB ,GRAY  ,64GB      ,GRAY  ,64GB,APPLE,APPLE BBTI,TESTED
APL IP6 GRY 64G A1586 BSTK-P,664GB ,GRAY  ,64GB      ,GRAY  ,64GB,APPLE,APPLE BBTI,TESTED
APL IP6 GRY 64G A1586 CSTK-P,664GB ,GRAY  ,64GB      ,GRAY  ,64GB,APPLE,APPLE BBTI,TESTED
APL IP6 SLV 128G A1549 ASTK-P,6128GB,SILVER,128GB     ,SILVER,128GB,APPLE,APPLE BBTI,TESTED
APL IP6 SLV 128G A1549 B2ST-P,6128GB,SILVER,128GB     ,SILVER,128GB,APPLE,APPLE BBTI,TESTED
APL IP6 SLV 128G A1549 BSTK-P,6128GB,SILVER,128GB     ,SILVER,128GB,APPLE,APPLE BBTI,TESTED
APL IP6 SLV 128G A1549 CSTK-P,6128GB,SILVER,128GB     ,SILVER,128GB,APPLE,APPLE BBTI,TESTED
APL IP6 SLV 128G A1586 ASTK-P,6128GB,SILVER,128GB     ,SILVER,128GB,APPLE,APPLE BBTI,TESTED
APL IP6 SLV 128G A1586 BSTK-P,6128GB,SILVER,128GB     ,SILVER,128GB,APPLE,APPLE BBTI,TESTED
APL IP6 SLV 128G A1586 CSTK-P,6128GB,SILVER,128GB     ,SILVER,128GB,APPLE,APPLE BBTI,TESTED
APL IP6 SLV 16G A1549 ASTK-P,616GB ,SILVER,16GB      ,SILVER,16GB,APPLE,APPLE BBTI,TESTED
APL IP6 SLV 16G A1549 B2ST-P,616GB ,SILVER,16GB      ,SILVER,16GB,APPLE,APPLE BBTI,TESTED
APL IP6 SLV 16G A1549 BSTK-P,616GB ,SILVER,16GB      ,SILVER,16GB,APPLE,APPLE BBTI,TESTED
APL IP6 SLV 16G A1549 CSTK-P,616GB ,SILVER,16GB      ,SILVER,16GB,APPLE,APPLE BBTI,TESTED
APL IP6 SLV 16G A1586 ASTK-P,616GB ,SILVER,16GB      ,SILVER,16GB,APPLE,APPLE BBTI,TESTED
APL IP6 SLV 16G A1586 B2ST-P,616GB ,SILVER,16GB      ,SILVER,16GB,APPLE,APPLE BBTI,TESTED
APL IP6 SLV 16G A1586 BSTK-P,616GB ,SILVER,16GB      ,SILVER,16GB,APPLE,APPLE BBTI,TESTED
APL IP6 SLV 16G A1586 CSTK-P,616GB ,SILVER,16GB      ,SILVER,16GB,APPLE,APPLE BBTI,TESTED
APL IP6 SLV 64G A1549 ASTK-P,664GB ,SILVER,64GB      ,SILVER,64GB,APPLE,APPLE BBTI,TESTED
APL IP6 SLV 64G A1549 B2ST-P,664GB ,SILVER,64GB      ,SILVER,64GB,APPLE,APPLE BBTI,TESTED
APL IP6 SLV 64G A1549 BSTK-P,664GB ,SILVER,64GB      ,SILVER,64GB,APPLE,APPLE BBTI,TESTED
APL IP6 SLV 64G A1549 CSTK-P,664GB ,SILVER,64GB      ,SILVER,64GB,APPLE,APPLE BBTI,TESTED
APL IP6 SLV 64G A1586 ASTK-P,664GB ,SILVER,64GB      ,SILVER,64GB,APPLE,APPLE BBTI,TESTED
APL IP6 SLV 64G A1586 B2ST-P,664GB ,SILVER,64GB      ,SILVER,64GB,APPLE,APPLE BBTI,TESTED
APL IP6 SLV 64G A1586 BSTK-P,664GB ,SILVER,64GB      ,SILVER,64GB,APPLE,APPLE BBTI,TESTED
APL IP6 SLV 64G A1586 CSTK-P,664GB ,SILVER,64GB      ,SILVER,64GB,APPLE,APPLE BBTI,TESTED
APL IP6S GLD 128 BLM BBTI BST,6S128G,GOLD  ,128GB     ,GOLD  ,128GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 128 BLM BBTI CST,6S128G,GOLD  ,128GB     ,GOLD  ,128GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 128 BLM BBTI DST,6S128G,GOLD  ,128GB     ,GOLD  ,128GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 128 BLM BBTI EST,6S128G,GOLD  ,128GB     ,GOLD  ,128GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 128 OTH BBTI BST,6S128G,GOLD  ,128GB     ,GOLD  ,128GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 128 OTH BBTI CST,6S128G,GOLD  ,128GB     ,GOLD  ,128GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 128 OTH BBTI DST,6S128G,GOLD  ,128GB     ,GOLD  ,128GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 128 OTH BBTI EST,6S128G,GOLD  ,128GB     ,GOLD  ,128GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 128 RGW BBTI BST,6S128G,GOLD  ,128GB     ,GOLD  ,128GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 128 RGW BBTI CST,6S128G,GOLD  ,128GB     ,GOLD  ,128GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 128 RGW BBTI EST,6S128G,GOLD  ,128GB     ,GOLD  ,128GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 128 TEL BBTI CST,6S128G,GOLD  ,128GB     ,GOLD  ,128GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 128G A1633 AST,6S128G,GOLD  ,128GB     ,GOLD  ,128GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 128G A1633 B2STK,6S128G,GOLD  ,128GB     ,GOLD  ,128GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 128G A1633 BST,6S128G,GOLD  ,128GB     ,GOLD  ,128GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 128G A1633 CST,6S128G,GOLD  ,128GB     ,GOLD  ,128GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 128G A1633 CSTKRC,6S128G,GOLD  ,128GB     ,GOLD  ,128GB,APPLE,APPLE BBTI,REVIEW
APL IP6S GLD 128G A1633 DST,6S128G,GOLD  ,128GB     ,GOLD  ,128GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 128G A1633 EST,6S128G,GOLD  ,128GB     ,GOLD  ,128GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 128G A1688 AST,6S128G,GOLD  ,128GB     ,GOLD  ,128GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 128G A1688 B2STK,6S128G,GOLD  ,128GB     ,GOLD  ,128GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 128G A1688 BST,6S128G,GOLD  ,128GB     ,GOLD  ,128GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 128G A1688 CST,6S128G,GOLD  ,128GB     ,GOLD  ,128GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 128G A1688 CSTKRC,6S128G,GOLD  ,128GB     ,GOLD  ,128GB,APPLE,APPLE BBTI,REVIEW
APL IP6S GLD 128G A1688 DST,6S128G,GOLD  ,128GB     ,GOLD  ,128GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 128G A1688 EST,6S128G,GOLD  ,128GB     ,GOLD  ,128GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 16 BLM BBTI BST,6S16GB,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 16 BLM BBTI CST,6S16GB,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 16 BLM BBTI DST,6S16GB,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 16 BLM BBTI EST,6S16GB,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 16 BLM BBTI LCK,6S16GB,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,BBTI,REVIEW
APL IP6S GLD 16 OTH BBTI BST,6S16GB,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 16 OTH BBTI CST,6S16GB,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 16 OTH BBTI DST,6S16GB,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 16 OTH BBTI EST,6S16GB,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 16 OTH BBTI LCK,6S16GB,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,BBTI,REVIEW
APL IP6S GLD 16 RGW BBTI AST,6S16GB,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 16 RGW BBTI B2S,6S16GB,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 16 RGW BBTI CST,6S16GB,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 16 RGW BBTI DST,6S16GB,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 16 RGW BBTI EST,6S16GB,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 16 TEL BBTI CST,6S16GB,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 16 TEL BBTI DST,6S16GB,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 16 TEL BBTI EST,6S16GB,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 16G A1633 AST,6S16GB,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 16G A1633 B2STK,6S16GB,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 16G A1633 BST,6S16GB,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 16G A1633 CST,6S16GB,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 16G A1633 CSTKRC,6S16GB,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,APPLE BBTI,REVIEW
APL IP6S GLD 16G A1633 DST,6S16GB,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 16G A1633 EST,6S16GB,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 16G A1688 AST,6S16GB,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 16G A1688 B2STK,6S16GB,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 16G A1688 BST,6S16GB,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 16G A1688 BSTKRC,6S16GB,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,APPLE BBTI,REVIEW
APL IP6S GLD 16G A1688 CST,6S16GB,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 16G A1688 CSTKRC,6S16GB,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,APPLE BBTI,REVIEW
APL IP6S GLD 16G A1688 DST,6S16GB,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 16G A1688 EST,6S16GB,GOLD  ,16GB      ,GOLD  ,16GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 32 BLM BBTI AST,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 32 BLM BBTI B2S,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 32 BLM BBTI BST,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 32 BLM BBTI CST,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 32 BLM BBTI DST,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 32 BLM BBTI EST,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 32 BLM BBTI LCK,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,BBTI,REVIEW
APL IP6S GLD 32 OTH BBTI AST,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 32 OTH BBTI B2S,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 32 OTH BBTI BST,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 32 OTH BBTI CST,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 32 OTH BBTI CSTK+,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,BBTI,TESTED
APL IP6S GLD 32 OTH BBTI DST,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 32 OTH BBTI EST,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 32 OTH BBTI LCK,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,BBTI,REVIEW
APL IP6S GLD 32 RGW BBTI AST,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 32 RGW BBTI B2S,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 32 RGW BBTI BST,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 32 RGW BBTI CST,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 32 RGW BBTI CSTK+,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,BBTI,TESTED
APL IP6S GLD 32 RGW BBTI DST,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 32 RGW BBTI EST,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 32 TEL BBTI CST,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 32G A1633 AST,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 32G A1633 B2STK,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 32G A1633 BST,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 32G A1633 CST,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 32G A1633 CSTKRC,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,APPLE BBTI,REVIEW
APL IP6S GLD 32G A1633 DST,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 32G A1633 EST,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 32G A1688 AST,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 32G A1688 B2STK,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 32G A1688 BST,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 32G A1688 CST,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 32G A1688 CSTKRC,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,APPLE BBTI,REVIEW
APL IP6S GLD 32G A1688 DST,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 32G A1688 EST,6S32GB,GOLD  ,32GB      ,GOLD  ,32GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 64 BLM BBTI B2S,6S64GB,GOLD  ,64GB      ,GOLD  ,64GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 64 BLM BBTI CST,6S64GB,GOLD  ,64GB      ,GOLD  ,64GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 64 BLM BBTI DST,6S64GB,GOLD  ,64GB      ,GOLD  ,64GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 64 BLM BBTI EST,6S64GB,GOLD  ,64GB      ,GOLD  ,64GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 64 BLM BBTI LCK,6S64GB,GOLD  ,64GB      ,GOLD  ,64GB,APPLE,BBTI,REVIEW
APL IP6S GLD 64 OTH BBTI B2S,6S64GB,GOLD  ,64GB      ,GOLD  ,64GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 64 OTH BBTI BST,6S64GB,GOLD  ,64GB      ,GOLD  ,64GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 64 OTH BBTI CST,6S64GB,GOLD  ,64GB      ,GOLD  ,64GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 64 OTH BBTI DST,6S64GB,GOLD  ,64GB      ,GOLD  ,64GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 64 OTH BBTI EST,6S64GB,GOLD  ,64GB      ,GOLD  ,64GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 64 OTH BBTI LCK,6S64GB,GOLD  ,64GB      ,GOLD  ,64GB,APPLE,BBTI,REVIEW
APL IP6S GLD 64 RGW BBTI B2S,6S64GB,GOLD  ,64GB      ,GOLD  ,64GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 64 RGW BBTI BST,6S64GB,GOLD  ,64GB      ,GOLD  ,64GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 64 RGW BBTI CST,6S64GB,GOLD  ,64GB      ,GOLD  ,64GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 64 RGW BBTI DST,6S64GB,GOLD  ,64GB      ,GOLD  ,64GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 64 RGW BBTI LCK,6S64GB,GOLD  ,64GB      ,GOLD  ,64GB,APPLE,BBTI,REVIEW
APL IP6S GLD 64 TEL BBTI CST,6S64GB,GOLD  ,64GB      ,GOLD  ,64GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 64 TEL BBTI DST,6S64GB,GOLD  ,64GB      ,GOLD  ,64GB,APPLE,BBTI,UNTESTED
APL IP6S GLD 64G A1633 AST,6S64GB,GOLD  ,64GB      ,GOLD  ,64GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 64G A1633 B2STK,6S64GB,GOLD  ,64GB      ,GOLD  ,64GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 64G A1633 BST,6S64GB,GOLD  ,64GB      ,GOLD  ,64GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 64G A1633 BSTKRC,6S64GB,GOLD  ,64GB      ,GOLD  ,64GB,APPLE,APPLE BBTI,REVIEW
APL IP6S GLD 64G A1633 CST,6S64GB,GOLD  ,64GB      ,GOLD  ,64GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 64G A1633 CSTKRC,6S64GB,GOLD  ,64GB      ,GOLD  ,64GB,APPLE,APPLE BBTI,REVIEW
APL IP6S GLD 64G A1633 DST,6S64GB,GOLD  ,64GB      ,GOLD  ,64GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 64G A1633 EST,6S64GB,GOLD  ,64GB      ,GOLD  ,64GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 64G A1688 AST,6S64GB,GOLD  ,64GB      ,GOLD  ,64GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 64G A1688 B2STK,6S64GB,GOLD  ,64GB      ,GOLD  ,64GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 64G A1688 BST,6S64GB,GOLD  ,64GB      ,GOLD  ,64GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 64G A1688 CST,6S64GB,GOLD  ,64GB      ,GOLD  ,64GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 64G A1688 CSTKRC,6S64GB,GOLD  ,64GB      ,GOLD  ,64GB,APPLE,APPLE BBTI,REVIEW
APL IP6S GLD 64G A1688 DST,6S64GB,GOLD  ,64GB      ,GOLD  ,64GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GLD 64G A1688 EST,6S64GB,GOLD  ,64GB      ,GOLD  ,64GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GRY 128 BLM BBTI BST,6S128G,SPCGRY,128GB     ,SPACE GRAY,128GB,APPLE,BBTI,UNTESTED
APL IP6S GRY 128 BLM BBTI CST,6S128G,SPCGRY,128GB     ,SPACE GRAY,128GB,APPLE,BBTI,UNTESTED
APL IP6S GRY 128 BLM BBTI DST,6S128G,SPCGRY,128GB     ,SPACE GRAY,128GB,APPLE,BBTI,UNTESTED
APL IP6S GRY 128 BLM BBTI EST,6S128G,SPCGRY,128GB     ,SPACE GRAY,128GB,APPLE,BBTI,UNTESTED
APL IP6S GRY 128 OTH BBTI BST,6S128G,SPCGRY,128GB     ,SPACE GRAY,128GB,APPLE,BBTI,UNTESTED
APL IP6S GRY 128 OTH BBTI CST,6S128G,SPCGRY,128GB     ,SPACE GRAY,128GB,APPLE,BBTI,UNTESTED
APL IP6S GRY 128 OTH BBTI DST,6S128G,SPCGRY,128GB     ,SPACE GRAY,128GB,APPLE,BBTI,UNTESTED
APL IP6S GRY 128 OTH BBTI EST,6S128G,SPCGRY,128GB     ,SPACE GRAY,128GB,APPLE,BBTI,UNTESTED
APL IP6S GRY 128 OTH BBTI LCK,6S128G,SPCGRY,128GB     ,SPACE GRAY,128GB,APPLE,BBTI,REVIEW
APL IP6S GRY 128 RGW BBTI B2S,6S128G,SPCGRY,128GB     ,SPACE GRAY,128GB,APPLE,BBTI,UNTESTED
APL IP6S GRY 128 RGW BBTI BST,6S128G,SPCGRY,128GB     ,SPACE GRAY,128GB,APPLE,BBTI,UNTESTED
APL IP6S GRY 128 RGW BBTI CST,6S128G,SPCGRY,128GB     ,SPACE GRAY,128GB,APPLE,BBTI,UNTESTED
APL IP6S GRY 128 RGW BBTI DST,6S128G,SPCGRY,128GB     ,SPACE GRAY,128GB,APPLE,BBTI,UNTESTED
APL IP6S GRY 128 RGW BBTI EST,6S128G,SPCGRY,128GB     ,SPACE GRAY,128GB,APPLE,BBTI,UNTESTED
APL IP6S GRY 128 RGW BBTI LCK,6S128G,SPCGRY,128GB     ,SPACE GRAY,128GB,APPLE,BBTI,REVIEW
APL IP6S GRY 128 TEL BBTI CST,6S128G,SPCGRY,128GB     ,SPACE GRAY,128GB,APPLE,BBTI,UNTESTED
APL IP6S GRY 128 TEL BBTI EST,6S128G,SPCGRY,128GB     ,SPACE GRAY,128GB,APPLE,BBTI,UNTESTED
APL IP6S GRY 128G A1633 AST,6S128G,GRAY  ,128GB     ,GRAY  ,128GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GRY 128G A1633 ASTKRC,6S128G,GRAY  ,128GB     ,GRAY  ,128GB,APPLE,APPLE BBTI,REVIEW
APL IP6S GRY 128G A1633 B2STK,6S128G,GRAY  ,128GB     ,GRAY  ,128GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GRY 128G A1633 BST,6S128G,GRAY  ,128GB     ,GRAY  ,128GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GRY 128G A1633 CST,6S128G,GRAY  ,128GB     ,GRAY  ,128GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GRY 128G A1633 CSTKRC,6S128G,GRAY  ,128GB     ,GRAY  ,128GB,APPLE,APPLE BBTI,REVIEW
APL IP6S GRY 128G A1633 DST,6S128G,GRAY  ,128GB     ,GRAY  ,128GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GRY 128G A1633 EST,6S128G,GRAY  ,128GB     ,GRAY  ,128GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GRY 128G A1688 AST,6S128G,GRAY  ,128GB     ,GRAY  ,128GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GRY 128G A1688 B2STK,6S128G,GRAY  ,128GB     ,GRAY  ,128GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GRY 128G A1688 BST,6S128G,GRAY  ,128GB     ,GRAY  ,128GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GRY 128G A1688 BSTKRC,6S128G,GRAY  ,128GB     ,GRAY  ,128GB,APPLE,APPLE BBTI,REVIEW
APL IP6S GRY 128G A1688 CST,6S128G,GRAY  ,128GB     ,GRAY  ,128GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GRY 128G A1688 CSTKRC,6S128G,GRAY  ,128GB     ,GRAY  ,128GB,APPLE,APPLE BBTI,REVIEW
APL IP6S GRY 128G A1688 DST,6S128G,GRAY  ,128GB     ,GRAY  ,128GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GRY 128G A1688 EST,6S128G,GRAY  ,128GB     ,GRAY  ,128GB,APPLE,APPLE BBTI,UNTESTED
APL IP6S GRY 16 BLM BBTI AST,6S16GB,SPCGRY,16GB      ,SPACE GRAY,16GB,APPLE,BBTI,UNTESTED
APL IP6S GRY 16 BLM BBTI BST,6S16GB,SPCGRY,16GB      ,SPACE GRAY,16GB,APPLE,BBTI,UNTESTED
APL IP6S GRY 16 BLM BBTI CST,6S16GB,SPCGRY,16GB      ,SPACE GRAY,16GB,APPLE,BBTI,UNTESTED
APL IP6S GRY 16 BLM BBTI DST,6S16GB,SPCGRY,16GB      ,SPACE GRAY,16GB,APPLE,BBTI,UNTESTED
APL IP6S GRY 16 BLM BBTI EST,6S16GB,SPCGRY,16GB      ,SPACE GRAY,16GB,APPLE,BBTI,UNTESTED
APL IP6S GRY 16 OTH BBTI BST,6S16GB,SPCGRY,16GB      ,SPACE GRAY,16GB,APPLE,BBTI,UNTESTED
APL IP6S GRY 16 OTH BBTI CST,6S16GB,SPCGRY,16GB      ,SPACE GRAY,16GB,APPLE,BBTI,UNTESTED
APL IP6S GRY 16 OTH BBTI DST,6S16GB,SPCGRY,16GB      ,SPACE GRAY,16GB,APPLE,BBTI,UNTESTED
APL IP6S GRY 16 OTH BBTI EST,6S16GB,SPCGRY,16GB      ,SPACE GRAY,16GB,APPLE,BBTI,UNTESTED
